cat_num,fam_or_subfam,critter_name,mfcc_0_avg,mfcc_0_var,hs_mfcc_0_avg,hs_mfcc_0_var,mfcc_1_avg,mfcc_1_var,hs_mfcc_1_avg,hs_mfcc_1_var,mfcc_2_avg,mfcc_2_var,hs_mfcc_2_avg,hs_mfcc_2_var,mfcc_3_avg,mfcc_3_var,hs_mfcc_3_avg,hs_mfcc_3_var,mfcc_4_avg,mfcc_4_var,hs_mfcc_4_avg,hs_mfcc_4_var,mfcc_5_avg,mfcc_5_var,hs_mfcc_5_avg,hs_mfcc_5_var,mfcc_6_avg,mfcc_6_var,hs_mfcc_6_avg,hs_mfcc_6_var,mfcc_7_avg,mfcc_7_var,hs_mfcc_7_avg,hs_mfcc_7_var,mfcc_8_avg,mfcc_8_var,hs_mfcc_8_avg,hs_mfcc_8_var,mfcc_9_avg,mfcc_9_var,hs_mfcc_9_avg,hs_mfcc_9_var,mfcc_10_avg,mfcc_10_var,hs_mfcc_10_avg,hs_mfcc_10_var,mfcc_11_avg,mfcc_11_var,hs_mfcc_11_avg,hs_mfcc_11_var,mfcc_12_avg,mfcc_12_var,hs_mfcc_12_avg,hs_mfcc_12_var,mfcc_13_avg,mfcc_13_var,hs_mfcc_13_avg,hs_mfcc_13_var,mfcc_14_avg,mfcc_14_var,hs_mfcc_14_avg,hs_mfcc_14_var,mfcc_15_avg,mfcc_15_var,hs_mfcc_15_avg,hs_mfcc_15_var,mfcc_16_avg,mfcc_16_var,hs_mfcc_16_avg,hs_mfcc_16_var,mfcc_17_avg,mfcc_17_var,hs_mfcc_17_avg,hs_mfcc_17_var,mfcc_18_avg,mfcc_18_var,hs_mfcc_18_avg,hs_mfcc_18_var,mfcc_19_avg,mfcc_19_var,hs_mfcc_19_avg,hs_mfcc_19_var,mfcc_20_avg,mfcc_20_var,hs_mfcc_20_avg,hs_mfcc_20_var,mfcc_21_avg,mfcc_21_var,hs_mfcc_21_avg,hs_mfcc_21_var,mfcc_22_avg,mfcc_22_var,hs_mfcc_22_avg,hs_mfcc_22_var,mfcc_23_avg,mfcc_23_var,hs_mfcc_23_avg,hs_mfcc_23_var,mfcc_24_avg,mfcc_24_var,hs_mfcc_24_avg,hs_mfcc_24_var,mfcc_25_avg,mfcc_25_var,hs_mfcc_25_avg,hs_mfcc_25_var,mfcc_26_avg,mfcc_26_var,hs_mfcc_26_avg,hs_mfcc_26_var,mfcc_27_avg,mfcc_27_var,hs_mfcc_27_avg,hs_mfcc_27_var,mfcc_28_avg,mfcc_28_var,hs_mfcc_28_avg,hs_mfcc_28_var,mfcc_29_avg,mfcc_29_var,hs_mfcc_29_avg,hs_mfcc_29_var,mfcc_30_avg,mfcc_30_var,hs_mfcc_30_avg,hs_mfcc_30_var,mfcc_31_avg,mfcc_31_var,hs_mfcc_31_avg,hs_mfcc_31_var,mfcc_32_avg,mfcc_32_var,hs_mfcc_32_avg,hs_mfcc_32_var,mfcc_33_avg,mfcc_33_var,hs_mfcc_33_avg,hs_mfcc_33_var,mfcc_34_avg,mfcc_34_var,hs_mfcc_34_avg,hs_mfcc_34_var,mfcc_35_avg,mfcc_35_var,hs_mfcc_35_avg,hs_mfcc_35_var,mfcc_36_avg,mfcc_36_var,hs_mfcc_36_avg,hs_mfcc_36_var,mfcc_37_avg,mfcc_37_var,hs_mfcc_37_avg,hs_mfcc_37_var,mfcc_38_avg,mfcc_38_var,hs_mfcc_38_avg,hs_mfcc_38_var,mfcc_39_avg,mfcc_39_var,hs_mfcc_39_avg,hs_mfcc_39_var,max_mean,range,main_freq,peak_freq
FauxRecording0,Grillinae,Cricket,-129.43515,359.43793,-132.33743,266.56137,62.246742,191.67784,57.151367,149.29962,-6.0326467,47.471313,3.3430681,19.23445,23.458515,129.66911,31.891027,139.98874,-17.166088,25.806509,-14.523013,20.697008,16.810387,86.57287,17.071342,93.74255,-15.857244,189.36143,-13.977325,153.81964,17.613438,44.640923,18.658491,33.261974,-18.077768,48.41649,-19.030725,52.954147,24.889097,96.675476,24.23687,82.71616,-11.738064,23.967966,-11.156449,19.978096,1.6419572,36.322407,1.106081,29.526934,4.4634447,45.86894,4.5056767,49.092285,2.333971,15.693699,1.332454,15.000568,-4.4574947,65.64813,-3.1890066,58.168003,1.2935919,65.68423,-0.77101666,57.645374,7.5222397,16.514095,7.909128,8.692173,-7.1343193,25.704914,-7.989411,21.814333,3.7298422,19.932842,5.7916813,13.833969,5.481955,14.897318,5.7892056,10.172955,-7.726243,31.93527,-7.733487,28.923939,7.4320292,20.17723,6.5333953,12.48991,-7.767135,15.523008,-8.518484,16.586075,3.345254,28.601566,4.256712,14.730491,-3.3981373,22.361675,-1.1408808,13.126492,6.4622583,9.324998,5.29183,5.5949764,-4.3106213,12.513912,-5.1437426,7.5719757,1.9695098,9.630586,0.50086695,10.1305,0.98534447,13.499728,3.5993116,14.508273,-2.0475132,17.926815,-1.0854435,10.85109,-0.27601936,16.997343,-0.94986665,22.027718,2.2053854,10.931653,1.7005109,17.756386,-1.733902,9.343766,0.8530206,6.2882185,3.3168547,9.229485,3.9460402,7.9615355,-3.4129395,9.5558,-4.548958,11.210421,4.0900097,10.141433,2.4037583,9.579928,-4.7626543,9.522658,-5.0725904,9.35791,3.784868,9.765179,2.719859,5.865207,-4.6230626,10.365723,-5.704198,8.843474,4.2066216,10.580957,4.271734,7.9885273,10.7666015625,1.100502512562814,4597.3388671875,4598.25
FauxRecording1,Tettigoniinae,Katyidid,-404.52258,2307.7566,-378.13495,1126.4553,-8.70485,1555.9341,-44.27258,1347.8331,19.790049,845.65137,48.65721,612.1041,-8.003281,319.63074,-24.759398,152.28322,2.5041459,52.308792,9.705003,14.170194,3.371484,22.075542,-0.14990188,24.94793,-4.156763,15.147114,-2.7887945,10.859878,5.484226,11.957051,8.029396,10.3273735,-5.3488903,12.667654,-8.470117,14.118529,5.136175,14.5640955,4.913638,21.89839,-4.999302,13.134574,-9.286911,6.4560575,6.1822357,14.458339,9.521507,6.5803547,-4.5640907,12.212025,-7.45376,5.949727,5.692384,12.751174,7.143493,4.618068,-4.948847,9.085084,-5.8207393,6.313417,4.3537483,10.260182,6.9017186,14.746964,-4.2819486,8.874932,-5.150448,24.747437,3.9459016,8.184044,4.1257553,10.171008,-3.531783,6.840866,-4.836997,4.370937,3.744631,7.3846297,2.4811623,3.01201,-2.8259296,6.784293,-2.7893858,5.3468432,3.4796512,8.337777,3.6859481,7.6141586,-3.2790904,8.242305,-3.795922,7.502397,3.6794941,6.9209633,3.597699,9.011418,-3.1662657,7.7022533,-2.8848395,10.061976,3.6078455,7.8829174,5.385632,5.0241337,-3.1363254,6.9425464,-2.4603026,4.1991673,3.1850414,7.919587,3.6925323,9.082109,-3.0568802,8.239532,-2.6896677,8.853656,3.1902285,7.742795,3.9859674,4.168051,-2.893098,8.228044,-3.8728597,6.4265914,3.012788,7.42636,1.3800167,7.0479064,-2.4889588,6.9396143,-3.0260444,4.6323075,2.8807437,6.901233,2.9510543,5.1640816,-3.0570982,7.774851,-3.2078018,3.4752724,2.6142018,8.858764,3.1724913,4.0019298,-2.4476087,7.779807,-1.631941,4.684572,2.3576393,6.899138,2.290251,3.8104048,-2.2875078,7.485622,-1.197838,5.5030165,2.1073265,6.707736,2.866376,8.194205,7956.5185546875,1.38865836791148,9345.41015625,9412.010992681226
FauxRecording2,Cicadidae,Cicada,-92.127205,2297.1462,-68.68191,865.2318,-70.51541,169.18271,-60.675735,171.59741,-113.71239,312.37436,-122.652824,119.148224,-2.033062,52.71267,-2.421109,24.751709,-20.325293,23.289003,-17.19005,10.808528,2.247173,130.52164,7.341304,11.703778,-3.3981638,33.546528,-7.9217153,10.533939,36.000706,23.007868,32.6205,16.751898,-4.4316263,18.606323,-7.82898,10.912812,-12.016228,57.970222,-8.007401,5.463972,-9.557328,9.738046,-11.646848,9.332924,13.899243,12.481235,14.85093,4.4678607,-5.3570986,9.262176,-5.3160987,12.562841,1.1837363,8.587239,1.1743398,4.2684927,-11.040974,11.7930975,-13.3560705,3.5354369,13.819064,9.9760685,14.324131,7.924339,0.19937693,17.923693,-2.2773204,10.569833,-3.847202,7.8257895,-4.7548375,5.0282526,-1.7358676,12.612274,0.51576036,5.6400867,4.614439,13.237056,3.5705774,5.9015064,-6.3997188,12.96009,-4.072912,13.573877,3.6296027,15.65586,2.0206416,6.111588,-4.3874245,14.075072,-2.5703733,4.9988637,2.958052,19.686428,-1.1842004,8.3027935,-2.6107416,19.534119,-1.0140109,5.4989657,4.8794694,9.464226,4.7673416,8.40987,-3.8001404,8.043409,-3.4363441,5.316454,4.38978,9.762006,5.05294,6.083836,-2.2277677,14.84392,0.7690298,5.5128427,0.18557408,12.031667,-1.0248673,6.4003143,-3.5045466,7.511906,-2.6972191,2.683875,1.2380995,8.207579,0.17891316,9.679473,-3.3998225,17.957458,-6.3186855,10.102737,3.616656,10.438013,3.2404501,12.176254,-2.9807775,16.305763,-5.6629376,13.74429,5.448724,8.547948,4.2700443,6.765356,-3.395125,23.268047,-1.4087343,6.803024,1.3587201,9.335292,1.6208168,7.871472,-1.6345017,13.642042,1.2707711,3.1103823,1.0949126,7.7797303,-0.55523604,5.9198885,2465.5517578125,2.1366120218579234,2917.7490234375,3252.9500000000003
FauxRecording4,Tettigoniinae,Katydid,-364.5197,2289.036,-307.48215,57.82158,-14.773803,2476.8132,-78.73077,11.964843,24.598415,637.0244,55.452454,10.198956,-6.85662,134.2956,-19.623617,6.147455,2.4448812,67.81247,12.077588,4.4437323,-3.155872,45.440746,-10.23287,5.0315766,-1.1820002,16.65907,0.81458753,6.6685762,-0.9757088,11.167969,-2.2024314,6.0616765,-2.9645467,18.96434,0.5562485,7.3531423,1.5856271,29.11828,-4.407297,16.383612,3.5902035,16.731598,6.8118777,6.487488,3.5984595,10.408915,1.8132617,10.580296,-4.7295594,12.120489,-3.3462305,6.60264,-0.068303704,12.383453,-2.572172,9.619814,-1.1317958,11.670737,1.5500515,7.9478116,5.7991886,12.096999,4.7651396,11.561442,-1.0394194,9.218569,-0.5729625,6.1754627,6.0244207,9.396312,8.282287,4.914898,-1.8405943,9.025404,-2.3396497,7.368314,4.1486044,9.733451,5.438953,6.7255664,-3.0129995,9.459869,-4.3891826,11.775046,0.6730324,9.744906,-2.0358968,4.947591,-5.245632,10.004221,-4.4346104,7.483215,0.13502975,10.130228,-0.673506,12.642918,-2.2315843,8.796211,-2.7041147,4.743376,3.8213706,9.008695,1.5396968,11.020966,-1.1733813,10.284892,-2.1238616,12.835723,2.898391,9.190223,2.085583,9.800291,-3.1205583,8.874427,-5.194493,5.3148775,1.9716681,7.995992,1.0108546,4.650024,-3.4998822,7.7719965,-4.4689574,5.92789,1.9777689,7.9534426,3.298279,8.902831,-3.393707,8.91339,-7.0569654,7.616676,2.944676,8.104065,4.5680003,10.667836,-1.7664404,8.057495,-0.650426,8.982819,3.5242097,7.6893888,4.345692,10.477135,-2.1234624,8.754564,-4.005238,5.749547,1.6840928,7.928739,-0.38166535,10.958775,-3.7445617,7.5371118,-2.0598016,9.158952,1.4402679,7.917178,1.3402781,6.9643874,9485.3759765625,1.170731707317073,10712.7685546875,10360.35
